id,home_team,away_team,league,country,start_timestamp,start_time,status,venue,round,source
13513414,Barcelona,Inter,"UEFA Champions League, Knockout Phase",Europe,1746048600,23:30,Not started,,28,api
12436552,Nottingham Forest,Brentford,Premier League,England,1746133200,23:00,Not started,,34,api
13514555,Athletic Club,Manchester United,"UEFA Europa League, Knockout Phase",Europe,1746124200,20:30,Not started,,28,api
13514554,Tottenham Hotspur,Bodø/Glimt,"UEFA Europa League, Knockout Phase",Europe,1746119700,19:15,Not started,,28,api
13514787,Djurgårdens IF,Chelsea,"UEFA Conference League, Knockout Phase",Europe,1746134100,23:15,Not started,,28,api
13514775,Real Betis,Fiorentina,"UEFA Conference League, Knockout Phase",Europe,1746122400,20:00,Not started,,28,api
13631377,Royal Antwerp FC,RSC Anderlecht,"First Division A, Championship Round",Belgium,1746101700,14:15,Not started,,7,api
13631378,Club Brugge KV,KAA Gent,"First Division A, Championship Round",Belgium,1746111600,17:00,Not started,,7,api
13600958,Al-Nassr,Kawasaki Frontale,AFC Champions League Elite,Asia,1746034200,19:30,Not started,,28,api
12527828,Juve Stabia,Catanzaro,Serie B,Italy,1746090000,11:00,Not started,,36,api
12527826,Cosenza,Bari,Serie B,Italy,1746102600,14:30,Not started,,36,api
12527830,Mantova,Cesena,Serie B,Italy,1746109800,16:30,Not started,,36,api
12527832,Modena,Reggiana,Serie B,Italy,1746104400,15:00,Not started,,36,api
12527834,Palermo,Südtirol,Serie B,Italy,1746112500,17:15,Not started,,36,api
12527836,Pisa,Frosinone,Serie B,Italy,1746112500,17:15,Not started,,36,api
12527838,Sampdoria,Cremonese,Serie B,Italy,1746098100,13:15,Not started,,36,api
12527842,Spezia,Salernitana,Serie B,Italy,1746095400,12:30,Not started,,36,api
12527824,Cittadella,Brescia,Serie B,Italy,1746120600,19:30,Not started,,36,api
12527840,Sassuolo,Carrarese,Serie B,Italy,1746126000,21:00,Not started,,36,api
12637051,Wellington Phoenix,Perth Glory,A-League,Australia,1746179100,11:45,Not started,,29,api
12637049,Central Coast Mariners,Brisbane Roar,A-League,Australia,1746185700,13:35,Not started,,29,api
13400420,Dalian Yingbo FC,Yunnan Yukun,Chinese Super League,China,1746091800,11:30,Not started,,10,api
13400421,Shenzhen Peng City,Tianjin Jinmen Tiger,Chinese Super League,China,1746096300,12:45,Not started,,10,api
13400424,Henan FC Jiuzu Dukang,Wuhan Three Towns,Chinese Super League,China,1746092700,11:45,Not started,,10,api
13400422,Zhejiang,Changchun Yatai,Chinese Super League,China,1746100800,14:00,Not started,,10,api
13400423,Shandong Taishan,Qingdao Hainiu,Chinese Super League,China,1746095700,12:35,Not started,,10,api
13400425,Shanghai Port,Beijing Guoan,Chinese Super League,China,1746091200,11:20,Not started,,10,api
13400426,Qingdao West Coast,Meizhou Hakka,Chinese Super League,China,1746189900,14:45,Not started,,10,api
13400427,Chengdu Rongcheng,Shanghai Shenhua,Chinese Super League,China,1746182100,12:35,Not started,,10,api
13808649,Rionegro Águilas Doradas,América de Cali,"Primera A, Apertura",Colombia,1746063000,03:30,Not started,,4,api
13778951,Llaneros FC,Independiente Santa Fe,"Primera A, Apertura",Colombia,1746059100,02:25,Not started,,15,api
13808642,Envigado FC,Once Caldas,"Primera A, Apertura",Colombia,1746117000,18:30,Not started,,11,api
13636907,Blackpool,Birmingham City,League One,England,1746030600,18:30,Not started,,42,api
13645118,Mansfield Town,Peterborough United,League One,England,1746046800,23:00,Not started,,42,api
13573897,Haras El Hedoud,Pyramids FC,"Premier League, Championship Round",Egypt,1746013500,13:45,Ended,,20,api
13573895,Petrojet,Al Ahly FC,"Premier League, Championship Round",Egypt,1746036900,20:15,Not started,,20,api
13573877,Ceramica Cleopatra,National Bank of Egypt,"Premier League, Championship Round",Egypt,1746111600,17:00,Not started,,20,api
13573879,Al-Masry,Zamalek SC,"Premier League, Championship Round",Egypt,1746125100,20:45,Not started,,20,api
13295674,Viking FK,Haugesund,Eliteserien,Norway,1746030600,18:30,1st half,,18,api
13292877,Fredrikstad FK,Bodø/Glimt,Eliteserien,Norway,1746100800,14:00,Postponed,,5,api
13295666,Rosenborg BK,Kristiansund BK,Eliteserien,Norway,1746113400,17:30,Not started,,17,api
13741842,Melgar,Comerciantes Unidos,"Liga 1, Apertura",Peru,1746153000,04:30,Not started,,11,api
12624401,Al-Okhdood,Al-Wehda,Saudi Pro League,Saudi Arabia,1746107100,15:45,Not started,,30,api
12624409,Al-Riyadh,Al-Orobah,Saudi Pro League,Saudi Arabia,1746118800,19:00,Not started,,30,api
12624408,Al-Fateh,Al-Shabab,Saudi Pro League,Saudi Arabia,1746114300,17:45,Not started,,30,api
13794981,Mamelodi Sundowns,Richards Bay FC,Premiership,South Africa,1746036900,20:15,Not started,,27,api
13809802,Orlando Pirates,Sekhukhune United,Premiership,South Africa,1746034200,19:30,Not started,,10,api
13796356,Stellenbosch,Chippa United,Premiership,South Africa,1746043200,22:00,Not started,,27,api
13749682,Inter Miami CF,Vancouver Whitecaps,CONCACAF Champions Cup,North & Central America,1746048600,23:30,Not started,,28,api
13749683,Cruz Azul,Tigres UANL,CONCACAF Champions Cup,North & Central America,1746144000,02:00,Not started,,28,api
13278607,Louisville City FC,Lexington SC,USL Championship,USA,1746140400,01:00,Not started,,1,api
13335306,Pohang Steelers,Gimcheon Sangmu FC,K-League 1,South Korea,1746189900,14:45,Not started,,11,api
13335305,Ulsan HD,Gwangju FC,K-League 1,South Korea,1746175500,10:45,Not started,,11,api
13743504,Buriram United,Nongbua Pitchaya,Thai League 1,Thailand,1746010800,13:00,Ended,,30,api
13743502,Nakhon Pathom United,Ratchaburi,Thai League 1,Thailand,1746019800,15:30,Ended,,30,api
13807742,PT Prachuap FC,True Bangkok United,Thai League 1,Thailand,1746001800,10:30,Ended,,30,api
13743506,Port FC,Rayong FC,Thai League 1,Thailand,1746006300,11:45,Ended,,30,api
13692763,Al-Sharjah,Baniyas,Pro League,United Arab Emirates,1746120600,19:30,Not started,,20,api
12592802,Aston Villa,Arsenal,Women's Super League,England,1746040500,21:15,Not started,,20,api
12592797,Manchester United,Chelsea FC,Women's Super League,England,1746037800,20:30,Not started,,20,api
13806656,FC Levante Badalona,Barcelona,Liga F,Spain,1746094500,12:15,Not started,,27,api
13760527,USM Alger,ASO Chlef,Ligue 1,Algeria,1746039600,21:00,Not started,,21,api
13280697,Atlético Tucumán,CA Independiente,"Primera LPF, Apertura",Argentina,1746049500,23:45,Not started,,14,api
13708596,Wolfsberger AC,TSV Hartberg,OFB Cup,Austria,1746108000,16:00,Not started,,29,api
13810788,Al-Muharraq,Sitra Club,Premier League,Bahrain,1746117900,18:45,Not started,,17,api
13810790,Bahrain SC,A'Ali FC,Premier League,Bahrain,1746109800,16:30,Not started,,17,api
13810782,Malkiya Club,Al Najma Manama,Premier League,Bahrain,1746111600,17:00,Not started,,17,api
13785869,Blooming,Nacional Potosí,"Copa Division Profesional, Group A",Bolivia,1746063900,03:45,Not started,,1,api
13760429,Jorge Wilstermann,Bolívar,"Copa Division Profesional, Group A",Bolivia,1746129600,22:00,Postponed,,1,api
