id,home_team,away_team,league,country,start_timestamp,start_time,status,venue,round,source
13513416,Inter,Barcelona,"UEFA Champions League, Knockout Phase",Europe,1746555300,20:15,Not started,,28,api
12436561,Crystal Palace,Nottingham Forest,Premier League,England,1746468900,20:15,Not started,,35,api
12501514,Genoa,Milan,Serie A,Italy,1746477000,22:30,Not started,,35,api
12437537,Girona FC,Mallorca,LaLiga,Spain,1746472500,21:15,Not started,,34,api
13640328,Carabobo,Botafogo,"CONMEBOL Libertadores, Group A",South America,1746567900,23:45,Not started,,4,api
13640329,Alianza Lima,São Paulo,"CONMEBOL Libertadores, Group D",South America,1746559800,21:30,Not started,,4,api
13640330,Atlético Bucaramanga,Racing Club,"CONMEBOL Libertadores, Group E",South America,1746564300,22:45,Not started,,4,api
13640331,Fortaleza,Colo Colo,"CONMEBOL Libertadores, Group E",South America,1746583200,04:00,Not started,,4,api
13640333,San Antonio Bulo-Bulo,Peñarol,"CONMEBOL Libertadores, Group H",South America,1746580500,03:15,Not started,,4,api
13640435,Nacional Potosí,Guaraní,"CONMEBOL Sudamericana, Group A",South America,1746562500,22:15,Not started,,4,api
13640438,Boston River,CA Independiente,"CONMEBOL Sudamericana, Group A",South America,1746586800,05:00,Not started,,4,api
13640436,Vitória,Defensa y Justicia,"CONMEBOL Sudamericana, Group B",South America,1746573300,01:15,Not started,,4,api
13640439,Corinthians,América de Cali,"CONMEBOL Sudamericana, Group C",South America,1746583200,04:00,Not started,,4,api
13640437,Sportivo Luqueño,Godoy Cruz,"CONMEBOL Sudamericana, Group D",South America,1746562500,22:15,Not started,,4,api
13640440,Melgar,Lanús,"CONMEBOL Sudamericana, Group G",South America,1746574200,01:30,Not started,,4,api
12513671,AVS - Futebol SAD,Boavista,Liga Portugal Betclic,Portugal,1746465300,19:15,Not started,,32,api
13473402,Red Bull Bragantino,Mirassol,Brasileirão Betano,Brazil,1746490500,02:15,Not started,,7,api
13473407,Juventude,Atlético Mineiro,Brasileirão Betano,Brazil,1746482400,00:00,Not started,,7,api
12530668,Kasımpaşa,Trabzonspor,Super Lig,Turkey,1746466200,19:30,Not started,,34,api
13589433,Athens Kallithea FC,Panetolikos,"Super League, Relegation Round",Greece,1746449100,14:45,Not started,,6,api
13589455,MGS Panserraikos,NPS Volos,"Super League, Relegation Round",Greece,1746449100,14:45,Not started,,6,api
13589456,PAS Lamia 1964,APO Levadiakos,"Super League, Relegation Round",Greece,1746460800,18:00,Not started,,6,api
12465950,CD Castellón,Sporting Gijón,LaLiga 2,Spain,1746478800,23:00,Not started,,38,api
13525886,Goiás,Avaí,Brasileirão Série B,Brazil,1746483300,00:15,Not started,,6,api
13525885,CRB,Cuiabá,Brasileirão Série B,Brazil,1746571500,00:45,Not started,,6,api
13525891,Athletic Club,Vila Nova FC,Brasileirão Série B,Brazil,1746568800,00:00,Not started,,6,api
13400429,Henan FC Jiuzu Dukang,Tianjin Jinmen Tiger,Chinese Super League,China,1746436500,11:15,Not started,,11,api
13400430,Wuhan Three Towns,Shanghai Port,Chinese Super League,China,1746441000,12:30,Not started,,11,api
13400433,Chengdu Rongcheng,Zhejiang,Chinese Super League,China,1746440400,12:20,Not started,,11,api
13400432,Qingdao Hainiu,Changchun Yatai,Chinese Super League,China,1746436800,11:20,Not started,,11,api
13400441,Yunnan Yukun,Shandong Taishan,Chinese Super League,China,1746441000,12:30,Not started,,11,api
13400445,Meizhou Hakka,Shanghai Shenhua,Chinese Super League,China,1746537300,15:15,Not started,,11,api
13400440,Qingdao West Coast,Shenzhen Peng City,Chinese Super League,China,1746524100,11:35,Not started,,11,api
13358758,Boyacá Chicó FC,Envigado FC,"Primera A, Apertura",Colombia,1746499500,04:45,Not started,,17,api
12400475,MKS Korona Kielce,GKS Katowice,Ekstraklasa,Poland,1746472500,21:15,Not started,,31,api
