id,home_team,away_team,league,country,start_timestamp,start_time,status,venue,round,source
13589460,APO Levadiakos,NPS Volos,"Super League, Relegation Round",Greece,1747924200,16:30,Not started,,10,api
13589453,Athens Kallithea FC,PAS Lamia 1964,"Super League, Relegation Round",Greece,1747937700,20:15,Not started,,10,api
13589443,Panetolikos,MGS Panserraikos,"Super League, Relegation Round",Greece,1747928700,17:45,Not started,,10,api
13525916,Goiás,Ferroviária,Brasileirão Série B,Brazil,1748040600,00:50,Not started,,9,api
13631834,Austria Klagenfurt,TSV Hartberg,"Bundesliga, Relegation Round",Austria,1748025900,20:45,Not started,,32,api
13631836,LASK,SC Rheindorf Altach,"Bundesliga, Relegation Round",Austria,1748016900,18:15,Not started,,32,api
13631835,WSG Tirol,Grazer AK 1902,"Bundesliga, Relegation Round",Austria,1748016900,18:15,Not started,,32,api
13250782,Derry City,Shamrock Rovers,Premier Division,Ireland,1748023200,20:00,Not started,,17,api
13250783,Drogheda United,Bohemian FC,Premier Division,Ireland,1748020500,19:15,Not started,,17,api
13250784,Galway United,Cork City,Premier Division,Ireland,1748025900,20:45,Not started,,17,api
13250786,Shelbourne,Sligo Rovers,Premier Division,Ireland,1748033100,22:45,Not started,,17,api
13250787,St. Patrick's Athletic,Waterford FC,Premier Division,Ireland,1748032200,22:30,Not started,,17,api
13482014,Cerezo Osaka,Avispa Fukuoka,J.League,Japan,1748067300,08:15,Not started,,18,api
13482015,Nagoya Grampus,Urawa Red Diamonds,J.League,Japan,1748080800,12:00,Not started,,18,api
13295543,Hammarby IF,Mjällby AIF,Allsvenskan,Sweden,1747934100,19:15,Not started,,18,api
13295547,Malmö FF,AIK,Allsvenskan,Sweden,1747936800,20:00,Not started,,18,api
13403244,Utah Royals FC,Orlando Pride,NWSL,USA,1748044800,02:00,Not started,,10,api
13403245,Seattle Reign FC,Washington Spirit,NWSL,USA,1748052900,04:15,Not started,,10,api
13335331,FC Anyang,Pohang Steelers,K-League 1,South Korea,1748002500,14:15,Not started,,15,api
13335330,Jeju SK,Jeonbuk Hyundai Motors,K-League 1,South Korea,1747989900,10:45,Not started,,15,api
13335332,FC Seoul,Suwon FC,K-League 1,South Korea,1748066400,08:00,Not started,,15,api
13335335,Daejeon Hana Citizen,Daegu FC,K-League 1,South Korea,1748088000,14:00,Not started,,15,api
13335333,Ulsan HD,Gimcheon Sangmu FC,K-League 1,South Korea,1748073600,10:00,Not started,,15,api
13522898,Cheongju FC,Ansan Greeners FC,K-League 2,South Korea,1748070900,09:15,Not started,,13,api
13522897,Hwaseong FC,Seoul E-Land FC,K-League 2,South Korea,1748070900,09:15,Not started,,13,api
13522900,Gyeongnam FC,Cheonan City FC,K-League 2,South Korea,1748073600,10:00,Not started,,13,api
13522899,Seongnam FC,Busan I Park,K-League 2,South Korea,1748087100,13:45,Not started,,13,api
12765940,ASO Chlef,MC Alger,Ligue 1,Algeria,1748006100,15:15,Not started,,29,api
12765947,CR Belouizdad,MC Oran,Ligue 1,Algeria,1748007900,15:45,Not started,,29,api
12765929,ES Mostaganem,JS Kabylie,Ligue 1,Algeria,1748003400,14:30,Not started,,29,api
12765939,JS Saoura,Paradou AC,Ligue 1,Algeria,1748010600,16:30,Not started,,29,api
12765938,MC El Bayadh,Olympique Akbou,Ligue 1,Algeria,1748007900,15:45,Not started,,29,api
12765934,NC Magra,CS Constantine,Ligue 1,Algeria,1748020500,19:15,Not started,,29,api
